barra	utm_x	utm_y
Bmi_3489	-466376163	-235335234
Bmi_3487	-466377438	-235333254
Bmi_3485	-466380230	-235329356
Bmi_3483	-466381990	-235325971
Bmi_3481	-466384794	-235324510
Bmi_3479	-466385121	-235320416
Bmi_3477	-466388395	-235316402
Bmi_3475	-466389394	-235313037
Bmi_3473	-466391259	-235309517
Bmi_3471	-466392091	-235307863
Bmi_3469	-466393904	-235305994
Bmi_3467	-466395542	-235315222
Bmi_3465	-466396042	-235314158
Bmi_3463	-466397188	-235312133
Bmi_3461	-466397951	-235297131
Bmi_3459	-466398280	-235296594
Bmi_3457	-466399425	-235294620
Bmi_3455	-466399926	-235307099
Bmi_3453	-466402625	-235302081
Bmi_3451	-466403954	-235299669
Bmi_3449	-466405130	-235291933
Bmi_3398	-466391363	-235308799
Bmi_3395	-466391347	-235308799
Bmi_3394	-466391375	-235308799
Bmi_3392	-466391384	-235308799
Bmi_3384	-466387947	-235314922
Bmi_3382	-466387905	-235314922
Bmi_3380	-466387924	-235314922
Bmi_3378	-466387937	-235314922
Bmi_3375	-466401570	-235290239
Bmi_3371	-466401601	-235290239
Bmi_3368	-466401626	-235290239
Bmi_3366	-466401623	-235290166
Bmi_3360	-466401523	-235290239
Bmi_3354	-466398319	-235321511
Bmi_3349	-466398305	-235321412
B_790	-466254782	-235254272
B_789	-466259270	-235255363
B_788	-466254951	-235254315
B_787	-466251238	-235254138
B_786	-466241151	-235254423
B_785	-466232050	-235254791
B_784	-466240963	-235254429
B_783	-466231954	-235254708
B_782	-466231513	-235249375
B_781	-466231517	-235249214
B_780	-466231823	-235243871
B_778	-466231734	-235243766
B_777	-466398241	-235321697
B_776	-466398405	-235321606
B_775	-466398321	-235321511
B_774	-466398169	-235321311
B_773	-466398305	-235321412
B_772	-466355954	-235316229
B_771	-466356597	-235316096
B_770	-466356284	-235316313
B_769	-466356201	-235316333
B_768	-466382347	-235324836
B_767	-466379522	-235329945
B_766	-466378612	-235331019
B_765	-466374770	-235336638
B_764	-466373174	-235338929
B_763	-466376157	-235335234
B_762	-466373325	-235339034
B_761	-466377438	-235333254
B_760	-466377449	-235333238
B_759	-466380230	-235329356
B_758	-466380216	-235329373
B_757	-466387899	-235314922
B_756	-466387804	-235315029
B_755	-466383429	-235322916
B_754	-466383292	-235323164
B_753	-466384794	-235324510
B_752	-466384779	-235324496
B_751	-466385121	-235320416
B_750	-466385109	-235320433
B_749	-466382005	-235325971
B_748	-466378698	-235331063
B_747	-466379613	-235330006
B_746	-466387954	-235314809
B_745	-466388395	-235316402
B_744	-466388403	-235316388
B_743	-466397796	-235321370
B_742	-466393844	-235318715
B_741	-466388146	-235314886
B_740	-466383378	-235323217
B_739	-466388103	-235314877
B_738	-466389397	-235313019
B_737	-466388925	-235313606
B_736	-466387979	-235314744
B_735	-466388055	-235314546
B_734	-466391332	-235308816
B_733	-466391342	-235308799
B_732	-466391259	-235309517
B_731	-466391269	-235309499
B_730	-466391390	-235308720
B_729	-466391433	-235308618
B_728	-466393337	-235305171
B_727	-466392091	-235307863
B_726	-466392100	-235307845
B_725	-466393436	-235305052
B_724	-466388188	-235314873
B_723	-466397951	-235297131
B_722	-466397930	-235297137
B_721	-466397353	-235297266
B_720	-466395159	-235301427
B_719	-466395040	-235301436
B_718	-466395542	-235315222
B_717	-466396042	-235314158
B_716	-466396071	-235314150
B_715	-466395567	-235315181
B_714	-466395948	-235314352
B_713	-466397183	-235312133
B_712	-466398280	-235296594
B_711	-466401534	-235290422
B_710	-466400841	-235291545
B_709	-466399425	-235294620
B_708	-466399413	-235294636
B_707	-466393944	-235318738
B_706	-466398001	-235321249
B_705	-466399926	-235307099
B_704	-466393904	-235305994
B_703	-466393897	-235305975
B_702	-466393559	-235305044
B_701	-466399918	-235307120
B_700	-466397045	-235313712
B_699	-466401530	-235290166
B_698	-466401338	-235290129
B_697	-466401618	-235290239
B_696	-466404986	-235291927
B_695	-466405108	-235291933
B_694	-466405130	-235291933
B_693	-466401505	-235290227
B_692	-466400717	-235291527
B_691	-466397342	-235297064
B_690	-466397288	-235297250
B_689	-466402625	-235302081
B_688	-466402628	-235302075
B_687	-466403919	-235299644
B_686	-466400130	-235307979
B_685	-466403713	-235301321
B_684	-466407475	-235293638
B_683	-466411398	-235294794
B_682	-466411369	-235294792
B_681	-466414266	-235296442
B_680	-466398045	-235289772
B_679	-466382415	-235310771
B_678	-466283730	-235253610
B_677	-466283723	-235253547
B_676	-466257367	-235255594
B_675	-466257516	-235255579
B_674	-466258294	-235255504
B_673	-466365799	-235313427
B_672	-466367109	-235313545
B_671	-466390150	-235286512
B_670	-466391338	-235287199
B_669	-466364297	-235314292
B_668	-466364316	-235314288
B_667	-466365905	-235313866
B_666	-466366212	-235313785
B_665	-466368261	-235313246
B_664	-466368269	-235313244
B_663	-466369575	-235312883
B_662	-466369584	-235312881
B_661	-466315680	-235272899
B_660	-466381332	-235309668
B_659	-466380088	-235310120
B_658	-466380092	-235310120
B_657	-466259413	-235255398
B_656	-466287975	-235254949
B_655	-466275026	-235254064
B_654	-466287850	-235255264
B_653	-466287867	-235256279
B_652	-466287613	-235254493
B_651	-466287840	-235254862
B_650	-466285149	-235253344
B_649	-466283826	-235253291
B_648	-466283711	-235253286
B_647	-466283657	-235253291
B_646	-466280778	-235253545
B_645	-466278238	-235253779
B_644	-466272487	-235254291
B_643	-466269369	-235254568
B_642	-466261924	-235255167
B_641	-466385555	-235313200
B_640	-466385023	-235312863
B_639	-466291493	-235262214
B_638	-466291505	-235262198
B_637	-466292342	-235261259
B_636	-466323922	-235273570
B_635	-466267612	-235254706
B_634	-466264373	-235255004
B_633	-466384451	-235297875
B_632	-466290143	-235256325
B_631	-466292824	-235258992
B_630	-466300242	-235264874
B_629	-466298855	-235263625
B_628	-466296576	-235261572
B_627	-466295787	-235261038
B_626	-466294699	-235260146
B_625	-466292924	-235259052
B_624	-466316169	-235273745
B_623	-466304207	-235270874
B_622	-466305719	-235272475
B_621	-466306190	-235273281
B_620	-466306476	-235275091
B_619	-466309872	-235282619
B_618	-466309961	-235282700
B_617	-466311069	-235285521
B_616	-466310668	-235284408
B_615	-466332965	-235273246
B_614	-466331292	-235273167
B_613	-466331270	-235273167
B_612	-466337547	-235272116
B_611	-466337403	-235272156
B_610	-466365155	-235279999
B_609	-466367051	-235283690
B_608	-466366088	-235281711
B_607	-466365855	-235281283
B_606	-466379125	-235307979
B_605	-466379826	-235309327
B_604	-466380037	-235309956
B_603	-466352347	-235285635
B_602	-466352209	-235285688
B_601	-466354755	-235284712
B_600	-466385511	-235273500
B_599	-466385523	-235273484
B_598	-466267712	-235254935
B_597	-466267701	-235254820
B_596	-466267691	-235254699
B_595	-466287540	-235254372
B_594	-466287413	-235254300
B_593	-466286308	-235253670
B_592	-466286359	-235259983
B_591	-466286413	-235259854
B_590	-466287425	-235257506
B_589	-466302832	-235268459
B_588	-466302532	-235267921
B_587	-466301932	-235266934
B_586	-466309092	-235280802
B_585	-466308899	-235280289
B_584	-466308863	-235280192
B_583	-466308158	-235278664
B_582	-466307655	-235277586
B_581	-466307251	-235276596
B_580	-466306547	-235275069
B_579	-466305741	-235273271
B_578	-466305242	-235272464
B_577	-466303830	-235270074
B_576	-466304123	-235270879
B_575	-466304438	-235270706
B_574	-466310395	-235281304
B_573	-466309369	-235281541
B_572	-466315419	-235271815
B_571	-466312680	-235272115
B_570	-466309620	-235270631
B_569	-466309911	-235272122
B_568	-466309913	-235272136
B_567	-466310151	-235273496
B_566	-466310359	-235274577
B_565	-466310679	-235276561
B_564	-466311090	-235278181
B_563	-466311196	-235278813
B_562	-466311213	-235278904
B_561	-466311405	-235279894
B_560	-466311628	-235281043
B_559	-466315866	-235273937
B_558	-466316463	-235277936
B_557	-466316245	-235276042
B_556	-466316176	-235276873
B_555	-466316266	-235276952
B_554	-466316355	-235277034
B_553	-466317116	-235275220
B_552	-466322871	-235273352
B_551	-466322228	-235273559
B_550	-466319847	-235274288
B_549	-466317896	-235274941
B_548	-466320734	-235273927
B_547	-466320823	-235274006
B_546	-466323859	-235273262
B_545	-466324836	-235273071
B_544	-466328469	-235273042
B_543	-466329832	-235273093
B_542	-466329809	-235273094
B_541	-466328646	-235273120
B_540	-466328559	-235273122
B_539	-466333105	-235268559
B_538	-466332683	-235266839
B_537	-466333194	-235268640
B_536	-466333701	-235269989
B_535	-466334008	-235271411
B_534	-466334822	-235272785
B_533	-466334012	-235271429
B_532	-466335953	-235277912
B_531	-466334834	-235274581
B_530	-466334774	-235274370
B_529	-466334528	-235273502
B_528	-466334324	-235272872
B_527	-466335353	-235276121
B_526	-466335442	-235276200
B_525	-466335458	-235276662
B_524	-466335547	-235276742
B_523	-466350045	-235269004
B_522	-466348971	-235269287
B_521	-466346433	-235269945
B_520	-466343308	-235270700
B_519	-466340575	-235271452
B_518	-466339892	-235271640
B_517	-466342340	-235270810
B_516	-466342428	-235270891
B_515	-466349225	-235260799
B_514	-466348582	-235259863
B_513	-466348591	-235259893
B_512	-466348695	-235260272
B_511	-466348967	-235261069
B_510	-466350812	-235266927
B_509	-466351088	-235267565
B_508	-466350901	-235267009
B_507	-466350492	-235265568
B_506	-466349580	-235263140
B_505	-466349273	-235262059
B_504	-466349257	-235262010
B_503	-466351873	-235317556
B_502	-466352018	-235317522
B_501	-466352119	-235317497
B_500	-466353555	-235317149
B_499	-466354653	-235316863
B_498	-466351608	-235269206
B_497	-466351133	-235267696
B_496	-466351396	-235269335
B_495	-466351399	-235268709
B_494	-466351473	-235272791
B_493	-466352353	-235271342
B_492	-466352269	-235271356
B_491	-466351562	-235272872
B_490	-466352738	-235272950
B_489	-466353292	-235274302
B_488	-466353286	-235274283
B_487	-466353751	-235275624
B_486	-466352683	-235277259
B_485	-466356438	-235276154
B_484	-466355595	-235276414
B_483	-466354555	-235276777
B_482	-466354209	-235277260
B_481	-466354105	-235276913
B_480	-466354544	-235278647
B_479	-466354669	-235278618
B_478	-466355088	-235280158
B_477	-466355178	-235280238
B_476	-466355994	-235282849
B_475	-466355494	-235281427
B_474	-466355487	-235281409
B_473	-466356279	-235316406
B_472	-466356301	-235316400
B_471	-466358074	-235315968
B_470	-466356458	-235284247
B_469	-466356665	-235285083
B_468	-466356988	-235284102
B_467	-466359262	-235293650
B_466	-466359155	-235293020
B_465	-466358850	-235292029
B_464	-466357629	-235288340
B_463	-466357026	-235287087
B_462	-466357278	-235287029
B_461	-466363647	-235314450
B_460	-466360576	-235315293
B_459	-466358254	-235290600
B_458	-466358344	-235290679
B_457	-466358388	-235283843
B_456	-466365574	-235281393
B_455	-466364111	-235281860
B_454	-466362647	-235282327
B_453	-466358336	-235283685
B_452	-466358750	-235275243
B_451	-466359924	-235283087
B_450	-466360013	-235283168
B_449	-466363647	-235272231
B_448	-466363246	-235270411
B_447	-466363242	-235270391
B_446	-466356604	-235276111
B_445	-466358838	-235275324
B_444	-466360011	-235275040
B_443	-466361669	-235274481
B_442	-466363523	-235273920
B_441	-466364738	-235277248
B_440	-466364113	-235274184
B_439	-466364238	-235275547
B_438	-466364326	-235275627
B_437	-466364673	-235278260
B_436	-466364851	-235278421
B_435	-466371193	-235312491
B_434	-466371195	-235312490
B_433	-466372475	-235312149
B_432	-466372497	-235312143
B_431	-466366382	-235282568
B_430	-466366471	-235282648
B_429	-466367329	-235280743
B_428	-466368457	-235280071
B_427	-466368504	-235280183
B_426	-466371113	-235268684
B_425	-466374733	-235278173
B_424	-466371545	-235279372
B_423	-466371533	-235279339
B_422	-466371345	-235268652
B_421	-466371569	-235270413
B_420	-466371808	-235272059
B_419	-466372920	-235273550
B_418	-466373817	-235274375
B_417	-466374192	-235274697
B_416	-466373826	-235311769
B_415	-466373830	-235311768
B_414	-466375621	-235311314
B_413	-466375625	-235311313
B_412	-466376771	-235311040
B_411	-466376776	-235311038
B_410	-466374208	-235274710
B_409	-466377642	-235310810
B_408	-466379796	-235310215
B_407	-466376673	-235274652
B_406	-466376703	-235274599
B_405	-466376693	-235274617
B_404	-466375769	-235276013
B_403	-466377724	-235272344
B_402	-466377901	-235272504
B_401	-466378380	-235271596
