rede;barra;vnom_kv;utm_x;utm_y;rede_id;barra_id;
CAI  0103;B_1319;1.38E+001;-466271170;-235289969;3270;2776;
CAI  0103;B_1275;1.38E+001;-466229840;-235289949;3270;2820;
CAI  0103;B_1274;1.38E+001;-466228438;-235289449;3270;2821;
CAI  0103;B_1273;1.38E+001;-466226888;-235288896;3270;2822;
CAI  0103;B_1271;1.38E+001;-466232763;-235256797;3270;2823;
CAI  0103;B_1270;1.38E+001;-466224421;-235271313;3270;2824;
CAI  0103;B_1269;1.38E+001;-466225284;-235269949;3270;2825;
CAI  0103;B_1268;1.38E+001;-466226247;-235268494;3270;2826;
CAI  0103;B_1267;1.38E+001;-466226919;-235267402;3270;2827;
CAI  0103;B_1266;1.38E+001;-466227688;-235266312;3270;2828;
CAI  0103;B_1265;1.38E+001;-466228746;-235264675;3270;2829;
CAI  0103;B_1264;1.38E+001;-466230572;-235261856;3270;2830;
CAI  0103;B_1263;1.38E+001;-466231533;-235260312;3270;2831;
CAI  0103;B_1262;1.38E+001;-466232550;-235258696;3270;2832;
CAI  0103;B_1261;1.38E+001;-466232780;-235257418;3270;2833;
CAI  0103;B_1260;1.38E+001;-466232854;-235257484;3270;2834;
CAI  0103;B_1259;1.38E+001;-466232869;-235257498;3270;2835;
CAI  0103;B_1258;1.38E+001;-466234870;-235292073;3270;2836;
CAI  0103;B_1257;1.38E+001;-466234959;-235292152;3270;2837;
CAI  0103;B_1256;1.38E+001;-466236338;-235292771;3270;2838;
CAI  0103;B_1255;1.38E+001;-466237425;-235293572;3270;2839;
CAI  0103;B_1254;1.38E+001;-466237028;-235293125;3270;2840;
CAI  0103;B_1253;1.38E+001;-466237258;-235291799;3270;2841;
CAI  0103;B_1252;1.38E+001;-466237090;-235292036;3270;2842;
CAI  0103;B_1251;1.38E+001;-466238209;-235297514;3270;2843;
CAI  0103;B_1250;1.38E+001;-466238550;-235297444;3270;2844;
CAI  0103;B_1249;1.38E+001;-466240082;-235294538;3270;2845;
CAI  0103;B_1248;1.38E+001;-466243529;-235296127;3270;2846;
CAI  0103;B_1247;1.38E+001;-466242544;-235295686;3270;2847;
CAI  0103;B_1246;1.38E+001;-466243132;-235294875;3270;2848;
CAI  0103;B_1245;1.38E+001;-466243221;-235294956;3270;2849;
