
SYMMETRICAL COMPONENT PHASE-PHASE VOLTAGES BY BUS (for 3-phase buses)

Bus   Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

2974     13,12          0   0,002674    0,02039 1,655E-015 1,262E-014
2962     13,11          0   0,002679    0,02043 1,224E-015 9,337E-015
2811     13,14          0   0,003432    0,02613 1,224E-015 9,32E-015
2815     13,13          0   0,003472    0,02644 1,875E-015 1,427E-014
2230     13,15          0   0,003055    0,02324 1,875E-015 1,426E-014
2234     13,15          0   0,003005    0,02285 1,592E-015 1,21E-014
947         13          0    0,01024    0,07881 1,224E-015 9,42E-015
937         13          0    0,01036    0,07967 1,819E-015 1,399E-014
940         13          0    0,01061    0,08163 1,655E-015 1,273E-014
1982     13,06          0   0,008272    0,06336 1,592E-015 1,219E-014
1984     13,06          0   0,008277     0,0634 2,501E-015 1,916E-014
127      13,04          0   0,007061    0,05417 1,592E-015 1,221E-014
566      12,98          0   0,006808    0,05244 1,364E-015 1,051E-014
1186     12,98          0   0,008843    0,06815 1,875E-015 1,445E-014
2961     13,11          0   0,002679    0,02043 2,046E-015 1,56E-014
2814     13,13          0   0,003501    0,02666 1,137E-015 8,657E-015
2229     13,14          0   0,003085    0,02347 1,655E-015 1,259E-014
2233     13,15          0   0,003005    0,02285 1,655E-015 1,259E-014
946         13          0    0,01024     0,0788 1,137E-015 8,746E-015
939         13          0    0,01036    0,07967 1,592E-015 1,224E-014
1018        13          0    0,01062    0,08169 1,438E-015 1,106E-014
1985     13,06          0   0,008272    0,06336 1,875E-015 1,436E-014
1983     13,05          0   0,008332    0,06383 1,224E-015 9,38E-015
126      13,03          0   0,007058    0,05415 2,501E-015 1,919E-014
565      12,98          0   0,006808    0,05244 2,274E-015 1,751E-014
537      12,98          0   0,006808    0,05244 1,364E-015 1,051E-014
1204     12,97          0   0,008861    0,06829 1,592E-015 1,227E-014
1184     12,98          0   0,008843    0,06815 1,819E-015 1,402E-014
2972     13,12          0   0,002667    0,02034 1,592E-015 1,214E-014
2960     13,11          0   0,002681    0,02044 1,137E-015 8,67E-015
2813     13,13          0   0,003526    0,02685 1,655E-015 1,261E-014
2238     13,14          0   0,003088    0,02349 1,224E-015 9,317E-015
2237     13,15          0   0,003005    0,02285 1,655E-015 1,259E-014
989      12,99          0     0,0102     0,0785 1,819E-015  1,4E-014
996         13          0    0,01024    0,07879 1,819E-015 1,399E-014
1024        13          0    0,01036    0,07967 1,875E-015 1,442E-014
1987     13,06          0   0,008272    0,06336 2,096E-015 1,606E-014
1988     13,05          0   0,008356    0,06401 1,137E-015 8,709E-015
125      13,03          0   0,007056    0,05414 2,096E-015 1,608E-014
564      12,98          0   0,006805    0,05242 1,224E-015 9,432E-015
536      12,98          0   0,006808    0,05244 1,819E-015 1,401E-014
1205     12,97          0   0,008861    0,06829 1,655E-015 1,276E-014
1185     12,97          0   0,008872    0,06838 1,655E-015 1,276E-014
2986     13,12          0   0,002662     0,0203 1,592E-015 1,214E-014
2959     13,11          0   0,002682    0,02045 2,046E-015 1,561E-014
2817     13,13          0   0,003552    0,02705 1,875E-015 1,428E-014
2312     13,14          0   0,003088     0,0235 1,875E-015 1,427E-014
2236     13,15          0   0,003005    0,02285 1,137E-015 8,645E-015
990      12,99          0    0,01017     0,0783 2,501E-015 1,925E-014
995      7,506          0          0          0         0         0
945         13          0    0,01024    0,07879 1,655E-015 1,273E-014
1029        13          0    0,01063    0,08174 1,655E-015 1,273E-014
1986     13,06          0   0,008272    0,06336 1,875E-015 1,436E-014
2021     13,05          0   0,008358    0,06403 1,224E-015 9,38E-015
124      13,03          0   0,007055    0,05413 2,096E-015 1,608E-014
621      12,98          0   0,006802     0,0524 1,364E-015 1,051E-014
1206     12,97          0   0,008861    0,06829 2,239E-015 1,726E-014
1188     12,97          0   0,008954    0,06904 2,046E-015 1,578E-014
2985     13,12          0    0,00266    0,02028 2,501E-015 1,907E-014
2991     13,12          0   0,002662     0,0203 1,137E-015 8,668E-015
2955     13,11          0   0,002683    0,02046 2,542E-015 1,939E-014
2816     13,13          0   0,003576    0,02724 1,655E-015 1,261E-014
2304     13,15          0   0,003005    0,02285 1,655E-015 1,259E-014
991      12,99          0    0,01014     0,0781 1,224E-015 9,429E-015
987      7,502          0          0          0         0         0
944         13          0    0,01024    0,07879 2,542E-015 1,956E-014
1028        13          0    0,01063    0,08174 1,592E-015 1,224E-014
1025        13          0    0,01063    0,08174 1,137E-015 8,744E-015
1023        13          0    0,01089    0,08379 1,655E-015 1,273E-014
123      13,03          0   0,007053    0,05412 1,819E-015 1,396E-014
620      12,98          0   0,006799    0,05239 2,096E-015 1,615E-014
1187     7,485          0          0          0         0         0
1136     12,97          0   0,008986    0,06929 1,364E-015 1,052E-014
2990     13,12          0   0,002662     0,0203 1,875E-015 1,43E-014
2971     13,12          0   0,002662     0,0203 1,137E-015 8,668E-015
2966     13,11          0   0,002686    0,02049 1,655E-015 1,263E-014
2822     13,13          0   0,003605    0,02746 1,64E-015 1,249E-014
2310     13,14          0   0,003089     0,0235 1,364E-015 1,038E-014
980      12,99          0    0,01012    0,07794 1,592E-015 1,226E-014
979      12,98          0    0,01014     0,0781 1,017E-015 7,831E-015
943         13          0    0,01024    0,07879 1,655E-015 1,273E-014
1027        13          0    0,01063    0,08174 2,046E-015 1,574E-014
1022        13          0    0,01103    0,08486 1,655E-015 1,273E-014
2019     13,05          0    0,00836    0,06404 2,046E-015 1,568E-014
144      13,03          0   0,007053    0,05412 1,819E-015 1,396E-014
619      12,98          0   0,006799    0,05238 1,875E-015 1,445E-014
2965     13,11          0   0,002694    0,02056 1,364E-015 1,041E-014
2937      7,57          0          0          0         0         0
2821     13,12          0   0,003627    0,02763 2,319E-015 1,767E-014
2818     13,13          0   0,003605    0,02746 1,655E-015 1,261E-014
2309     13,14          0   0,003089     0,0235 1,875E-015 1,427E-014
2306     13,14          0   0,003092    0,02352 1,364E-015 1,038E-014
986      12,99          0     0,0101    0,07776 2,766E-015 2,13E-014
978      12,99          0    0,01012    0,07794 1,438E-015 1,107E-014
955      12,98          0    0,01014    0,07811 1,137E-015 8,756E-015
1026        13          0    0,01063    0,08174 1,819E-015 1,399E-014
1021        13          0    0,01113    0,08561 1,592E-015 1,224E-014
2018     13,05          0   0,008361    0,06405 1,592E-015 1,219E-014
2017     13,05          0    0,00836    0,06404 1,875E-015 1,436E-014
145      13,03          0   0,007058    0,05416 1,017E-015 7,804E-015
562      12,98          0   0,006799    0,05238 1,224E-015 9,434E-015
1202     12,97          0   0,009021    0,06958 1,137E-015 8,768E-015
2964      13,1          0   0,002701    0,02061 2,046E-015 1,562E-014
2820     13,12          0   0,003647    0,02779 1,819E-015 1,386E-014
2308     13,14          0   0,003089     0,0235 1,224E-015 9,317E-015
2313     13,14          0   0,003099    0,02358 1,364E-015 1,038E-014
985      12,99          0    0,01008    0,07763 1,592E-015 1,226E-014
