
LINE-GROUND and LINE-LINE VOLTAGES BY BUS & NODE

Bus  Node    VLN (kV)   Angle      pu     Base kV    Node-Node   VLL (kV)  Angle      pu

3016 1       7,5861 /_  -34,2         0     0,000        1-2     13,136 /_   -4,2         0
   - 2       7,5832 /_ -154,2         0     0,000        2-3     13,137 /_ -124,2         0
   - 3       7,5863 /_   85,8         0     0,000        3-1     13,141 /_  115,8         0
2830 1       7,5971 /_  -34,5         0     0,000        1-2     13,156 /_   -4,5         0
   - 2       7,5927 /_ -154,5         0     0,000        2-3     13,153 /_ -124,5         0
   - 3       7,5972 /_   85,5         0     0,000        3-1     13,159 /_  115,5         0
2292 1        7,601 /_  -34,7         0     0,000        1-2     13,163 /_   -4,7         0
   - 2       7,5967 /_ -154,7         0     0,000        2-3      13,16 /_ -124,7         0
   - 3       7,6008 /_   85,3         0     0,000        3-1     13,165 /_  115,3         0
   - 4    0,0049233 /_ -126,7         0     0,000
938  1       7,5122 /_  -35,7         0     0,000        1-2     13,008 /_   -5,7         0
   - 2        7,516 /_ -155,6         0     0,000        2-3      13,02 /_ -125,6         0
   - 3       7,5183 /_   84,4         0     0,000        3-1     13,024 /_  114,3         0
1998 1       7,5381 /_  -35,7         0     0,000        1-2     13,051 /_   -5,6         0
   - 2       7,5379 /_ -155,6         0     0,000        2-3     13,058 /_ -125,6         0
   - 3       7,5415 /_   84,4         0     0,000        3-1     13,065 /_  114,4         0
   - 4    0,0084966 /_   26,1         0     0,000
1160 1       7,4995 /_  -35,8         0     0,000        1-2     12,986 /_   -5,7         0
   - 2       7,5024 /_ -155,7         0     0,000        2-3     12,996 /_ -125,7         0
   - 3       7,5048 /_   84,3         0     0,000        3-1     13,001 /_  114,2         0
   - 4     0,011375 /_   27,9         0     0,000
3015 1       7,5844 /_  -34,2         0     0,000        1-2     13,133 /_   -4,2         0
   - 2       7,5814 /_ -154,2         0     0,000        2-3     13,134 /_ -124,2         0
   - 3       7,5846 /_   85,8         0     0,000        3-1     13,138 /_  115,8         0
2829 1       7,5951 /_  -34,5         0     0,000        1-2     13,152 /_   -4,6         0
   - 2       7,5906 /_ -154,6         0     0,000        2-3      13,15 /_ -124,5         0
   - 3       7,5952 /_   85,5         0     0,000        3-1     13,155 /_  115,5         0
2291 1       7,6007 /_  -34,7         0     0,000        1-2     13,162 /_   -4,7         0
   - 2       7,5964 /_ -154,7         0     0,000        2-3      13,16 /_ -124,7         0
   - 3       7,6005 /_   85,3         0     0,000        3-1     13,165 /_  115,3         0
   - 4    0,0049227 /_ -126,7         0     0,000
2286 1        7,601 /_  -34,7         0     0,000        1-2     13,163 /_   -4,7         0
   - 2       7,5967 /_ -154,7         0     0,000        2-3      13,16 /_ -124,7         0
   - 3       7,6008 /_   85,3         0     0,000        3-1     13,165 /_  115,3         0
   - 4    0,0049233 /_ -126,7         0     0,000
1016 1       7,5121 /_  -35,7         0     0,000        1-2     13,008 /_   -5,7         0
   - 2       7,5159 /_ -155,6         0     0,000        2-3     13,019 /_ -125,6         0
   - 3       7,5182 /_   84,4         0     0,000        3-1     13,024 /_  114,3         0
   - 4     0,014939 /_   28,6         0     0,000
14 . 1       7,5311 /_  -35,6         0     0,000        1-2     13,039 /_   -5,6         0
   - 2       7,5293 /_ -155,5         0     0,000        2-3     13,043 /_ -125,5         0
   - 3        7,533 /_   84,5         0     0,000        3-1     13,051 /_  114,5         0
426  1        7,511 /_  -35,7         0     0,000        1-2     13,004 /_   -5,7         0
   - 2       7,5085 /_ -155,7         0     0,000        2-3     13,007 /_ -125,6         0
   - 3       7,5122 /_   84,4         0     0,000        3-1     13,015 /_  114,3         0
3014 1       7,5827 /_  -34,2         0     0,000        1-2      13,13 /_   -4,2         0
   - 2       7,5797 /_ -154,2         0     0,000        2-3     13,131 /_ -124,2         0
   - 3       7,5829 /_   85,8         0     0,000        3-1     13,135 /_  115,8         0
3013 1       7,5843 /_  -34,2         0     0,000        1-2     13,133 /_   -4,2         0
   - 2       7,5813 /_ -154,2         0     0,000        2-3     13,134 /_ -124,2         0
   - 3       7,5845 /_   85,8         0     0,000        3-1     13,137 /_  115,8         0
   - 4    0,0039094 /_ -149,5         0     0,000
2828 1        7,594 /_  -34,5         0     0,000        1-2      13,15 /_   -4,6         0
   - 2       7,5894 /_ -154,6         0     0,000        2-3     13,148 /_ -124,5         0
   - 3       7,5941 /_   85,5         0     0,000        3-1     13,153 /_  115,5         0
2290 1       7,5993 /_  -34,7         0     0,000        1-2      13,16 /_   -4,7         0
   - 2        7,595 /_ -154,7         0     0,000        2-3     13,157 /_ -124,7         0
   - 3       7,5991 /_   85,3         0     0,000        3-1     13,162 /_  115,3         0
   - 4    0,0049202 /_ -126,7         0     0,000
2283 1        7,601 /_  -34,7         0     0,000        1-2     13,163 /_   -4,7         0
   - 2       7,5967 /_ -154,7         0     0,000        2-3      13,16 /_ -124,7         0
   - 3       7,6008 /_   85,3         0     0,000        3-1     13,165 /_  115,3         0
   - 4    0,0049233 /_ -126,7         0     0,000
2282 1        7,601 /_  -34,7         0     0,000        1-2     13,163 /_   -4,7         0
   - 2       7,5967 /_ -154,7         0     0,000        2-3      13,16 /_ -124,7         0
   - 3       7,6008 /_   85,3         0     0,000        3-1     13,165 /_  115,3         0
   - 4    0,0049233 /_ -126,7         0     0,000
2000 1       7,5381 /_  -35,7         0     0,000        1-2     13,051 /_   -5,6         0
   - 2       7,5379 /_ -155,6         0     0,000        2-3     13,058 /_ -125,6         0
   - 3       7,5415 /_   84,4         0     0,000        3-1     13,065 /_  114,4         0
   - 4    0,0084965 /_   26,1         0     0,000
1158 1       7,4994 /_  -35,8         0     0,000        1-2     12,986 /_   -5,8         0
   - 2       7,5023 /_ -155,7         0     0,000        2-3     12,996 /_ -125,7         0
   - 3       7,5047 /_   84,3         0     0,000        3-1         13 /_  114,2         0
   - 4     0,011375 /_   27,9         0     0,000
3011 1       7,5827 /_  -34,2         0     0,000        1-2      13,13 /_   -4,2         0
   - 2       7,5797 /_ -154,2         0     0,000        2-3     13,131 /_ -124,2         0
   - 3       7,5829 /_   85,8         0     0,000        3-1     13,135 /_  115,8         0
3009 1       7,5823 /_  -34,2         0     0,000        1-2      13,13 /_   -4,2         0
   - 2       7,5793 /_ -154,2         0     0,000        2-3      13,13 /_ -124,2         0
   - 3       7,5825 /_   85,8         0     0,000        3-1     13,134 /_  115,8         0
3012 1       7,5842 /_  -34,2         0     0,000        1-2     13,133 /_   -4,2         0
   - 2       7,5813 /_ -154,2         0     0,000        2-3     13,134 /_ -124,2         0
   - 3       7,5845 /_   85,8         0     0,000        3-1     13,137 /_  115,8         0
   - 4    0,0039094 /_ -149,5         0     0,000
2827 1       7,5932 /_  -34,6         0     0,000        1-2     13,149 /_   -4,6         0
   - 2       7,5886 /_ -154,6         0     0,000        2-3     13,146 /_ -124,5         0
   - 3       7,5933 /_   85,5         0     0,000        3-1     13,152 /_  115,5         0
2294 1       7,5988 /_  -34,7         0     0,000        1-2     13,159 /_   -4,7         0
   - 2       7,5944 /_ -154,7         0     0,000        2-3     13,156 /_ -124,7         0
   - 3       7,5985 /_   85,3         0     0,000        3-1     13,161 /_  115,3         0
   - 4    0,0049192 /_ -126,7         0     0,000
1014 1        7,512 /_  -35,7         0     0,000        1-2     13,008 /_   -5,7         0
   - 2       7,5158 /_ -155,6         0     0,000        2-3     13,019 /_ -125,6         0
   - 3       7,5182 /_   84,4         0     0,000        3-1     13,024 /_  114,3         0
   - 4     0,014939 /_   28,6         0     0,000
1999 1       7,5381 /_  -35,7         0     0,000        1-2     13,051 /_   -5,6         0
   - 2       7,5379 /_ -155,6         0     0,000        2-3     13,058 /_ -125,6         0
   - 3       7,5415 /_   84,4         0     0,000        3-1     13,065 /_  114,4         0
2003 1       7,5378 /_  -35,7         0     0,000        1-2     13,051 /_   -5,6         0
   - 2       7,5377 /_ -155,6         0     0,000        2-3     13,057 /_ -125,6         0
   - 3       7,5413 /_   84,4         0     0,000        3-1     13,065 /_  114,4         0
40 . 1        7,531 /_  -35,6         0     0,000        1-2     13,039 /_   -5,6         0
   - 2       7,5292 /_ -155,5         0     0,000        2-3     13,043 /_ -125,5         0
   - 3       7,5329 /_   84,5         0     0,000        3-1     13,051 /_  114,5         0
