
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus   Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

3259     48,69          0    0,01196    0,02456 3,305E-009 6,788E-009
944      7,505          0   0,005913    0,07879  0,005006   0,06671
1028     7,507          0   0,006136    0,08174  0,005246   0,06989
1025     7,507          0   0,006136    0,08174  0,005246   0,06989
1023     7,506          0    0,00629    0,08379  0,005429   0,07233
123      7,524          0   0,004072    0,05412  0,001704   0,02265
620      7,494          0   0,003926    0,05239  0,001225   0,01635
1187     7,485          0          0          0         0         0
1136     7,487          0   0,005188    0,06929  0,004435   0,05924
2990     7,572          0   0,001537     0,0203 0,0006223  0,008218
2971     7,572          0   0,001537     0,0203 0,0006223  0,008218
2966     7,568          0   0,001551    0,02049 0,0006665  0,008807
2822     7,578          0   0,002081    0,02746  0,002087   0,02754
2310     7,588          0   0,001783     0,0235  0,001825   0,02406
980      7,497          0   0,005844    0,07794  0,005005   0,06676
979      7,497          0   0,005855     0,0781  0,005007   0,06678
943      7,505          0   0,005913    0,07879  0,005006   0,06671
1027     7,507          0   0,006136    0,08174  0,005246   0,06989
1022     7,506          0   0,006369    0,08486  0,005523   0,07359
2019     7,537          0   0,004827    0,06404  0,003063   0,04065
144      7,524          0   0,004072    0,05412  0,001703   0,02263
619      7,494          0   0,003925    0,05238  0,001223   0,01632
2965     7,567          0   0,001555    0,02056 0,0006897  0,009115
2937      7,57          0          0          0         0         0
2821     7,578          0   0,002094    0,02763  0,002113   0,02788
2818     7,578          0   0,002081    0,02746  0,002087   0,02754
2309     7,588          0   0,001783     0,0235  0,001825   0,02406
2306     7,588          0   0,001785    0,02352  0,001831   0,02413
986      7,497          0    0,00583    0,07776  0,005004   0,06674
978      7,497          0   0,005844    0,07794  0,005005   0,06676
955      7,496          0   0,005855    0,07811  0,005007   0,06679
1026     7,507          0   0,006136    0,08174  0,005246   0,06989
1021     7,506          0   0,006426    0,08561   0,00559   0,07447
2018     7,537          0   0,004827    0,06405  0,003064   0,04066
2017     7,537          0   0,004827    0,06404  0,003063   0,04065
145      7,523          0   0,004075    0,05416  0,001662    0,0221
562      7,494          0   0,003925    0,05238   0,00122   0,01628
1202     7,486          0   0,005208    0,06958  0,004482   0,05987
2964     7,565          0    0,00156    0,02061 0,0007087  0,009368
2820     7,577          0   0,002105    0,02779  0,002136   0,02819
2308     7,588          0   0,001783     0,0235  0,001825   0,02406
2313     7,587          0   0,001789    0,02358  0,001845   0,02431
985      7,497          0    0,00582    0,07763  0,005002   0,06672
954      7,495          0   0,005855    0,07811  0,005007    0,0668
1033     7,506          0   0,006494    0,08652   0,00567   0,07554
2022     7,537          0   0,004833    0,06413  0,003074   0,04079
146      7,522          0   0,004077     0,0542  0,001633   0,02171
563      7,493          0   0,003925    0,05238  0,001212   0,01617
1201     7,486          0    0,00521    0,06959  0,004485   0,05991
2963     7,565          0   0,001561    0,02064  0,000717  0,009478
2819     7,575          0   0,002133    0,02816  0,002192   0,02893
2307     7,588          0   0,001783     0,0235  0,001825   0,02406
2315     7,587          0   0,001793    0,02364   0,00186   0,02451
984      7,497          0   0,005811    0,07751  0,005002   0,06671
953      7,495          0   0,005855    0,07811  0,005007    0,0668
1032     7,506          0   0,006494    0,08652   0,00567   0,07555
1020     7,505          0   0,006537    0,08709   0,00572   0,07622
2023     7,536          0   0,004843    0,06427   0,00309     0,041
147      7,522          0   0,004077    0,05421  0,001625    0,0216
560      7,493          0   0,003925    0,05238  0,001212   0,01617
558      7,493          0   0,003925    0,05238  0,001209   0,01613
1180     7,485          0   0,005229    0,06985  0,004528   0,06049
2981     7,564          0   0,001565    0,02069 0,0007315  0,009671
2837     7,574          0   0,002149    0,02838  0,002224   0,02936
2305     7,588          0   0,001783     0,0235  0,001825   0,02406
2303     7,588          0   0,001783     0,0235  0,001825   0,02406
2324     7,586          0   0,001799    0,02371  0,001878   0,02476
2271     7,587          0   0,001793    0,02364   0,00186   0,02451
983      7,497          0   0,005802    0,07739  0,005001    0,0667
969      7,495          0   0,005855    0,07811  0,005007    0,0668
1019     7,505          0   0,006571    0,08755   0,00576   0,07675
2029     7,536          0   0,004856    0,06443  0,003109   0,04126
148      7,521          0   0,004078    0,05422  0,001619   0,02153
561      7,493          0   0,003925    0,05238  0,001212   0,01617
582      7,492          0   0,003922    0,05235  0,001161    0,0155
1179     7,485          0   0,005229    0,06986  0,004528   0,06049
1193     7,484          0   0,005248    0,07012  0,004572    0,0611
1178     7,485          0   0,005229    0,06985  0,004528   0,06049
2980     7,564          0    0,00157    0,02076  0,000734  0,009704
2979     7,564          0   0,001539    0,02034 0,0007189  0,009504
2836      7,57          0          0          0         0         0
2838     7,573          0   0,002161    0,02853  0,002246   0,02965
2323     7,586          0   0,001805    0,02379  0,001899   0,02503
2274     7,586          0   0,001799    0,02371  0,001878   0,02476
982      7,497          0   0,005802    0,07739  0,005001    0,0667
977        7,5          0          0          0         0         0
970      7,493          0   0,005854    0,07812  0,005007   0,06681
1042     7,505          0   0,006639    0,08847  0,005841   0,07782
2028     7,536          0   0,004856    0,06443  0,003109   0,04126
2026     7,536          0   0,004863    0,06452   0,00312   0,04141
152      7,521          0   0,004078    0,05422  0,001618   0,02151
