
BUSES AND NODES IN ACTIVE CIRCUIT: cmc-01p3

                                Coord                                 Number of     Nodes
  Bus      Base kV             (x, y)                      Keep?       Nodes        connected ...

"19991" 138.000          (           NA,            NA )     No           3          1    2    3 
"5843"   13.800          ( 6042405      , 8453116      )     No           3          1    2    3 
"6041"   13.800          ( 6042425      , 8454218      )     No           2          1    2 
"5126"   13.800          ( 6043942      , 8455586      )     No           3          1    2    3 
"5831"   13.800          ( 6042250      , 8452977      )     No           3          1    2    3 
"6040"   13.800          ( 6042422      , 8454219      )     No           2          1    2 
"5154"   13.800          ( 6044208      , 8455921      )     No           2          1    2 
"5155"   13.800          ( 6043964      , 8455609      )     No           3          1    2    3 
"5832"   13.800          ( 6042181      , 8452924      )     No           3          1    2    3 
"5157"   13.800          ( 6044222      , 8455958      )     No           2          1    2 
"5835"   13.800          ( 6042070      , 8452827      )     No           3          1    2    3 
"5156"   13.800          ( 6044225      , 8455966      )     No           2          1    2 
"5833"   13.800          ( 6042058      , 8452838      )     No           3          1    2    3 
"5845"   13.800          ( 6041970      , 8452719      )     No           3          1    2    3 
"5834"   13.800          ( 6042102      , 8452763      )     No           3          1    2    3 
"5840"   13.800          ( 6042117      , 8452733      )     No           3          1    2    3 
"5846"   13.800          ( 6041891      , 8452670      )     No           3          1    2    3 
"4213"   13.800          ( 6042062      , 8452743      )     No           3          1    2    3 
"4214"   13.800          ( 6042066      , 8452745      )     No           3          1    2    3 
"5839"   13.800          ( 6042118      , 8452730      )     No           3          1    2    3 
"5809"   13.800          ( 6041977      , 8452860      )     No           3          1    2    3 
"5810"   13.800          ( 6041980      , 8452859      )     No           3          1    2    3 
"5848"   13.800          ( 6041815      , 8452600      )     No           3          1    2    3 
"5811"   13.800          ( 6041697      , 8452484      )     No           3          1    2    3 
"5847"   13.800          ( 6041823      , 8452664      )     No           3          1    2    3 
"5836"   13.800          ( 6041823      , 8452666      )     No           3          1    2    3 
"5838"   13.800          ( 6041790      , 8452689      )     No           3          1    2    3 
"6021"   13.800          ( 6041613      , 8452424      )     No           3          1    2    3 
"6236"   13.800          ( 6041460      , 8452374      )     No           3          1    2    3 
"5519"   13.800          ( 6041567      , 8452823      )     No           3          1    2    3 
"5837"   13.800          ( 6041754      , 8452709      )     No           3          1    2    3 
"4196"   13.800          ( 6041606      , 8452339      )     No           2          1    2 
"5812"   13.800          ( 6041614      , 8452371      )     No           3          1    2    3 
"5842"   13.800          ( 6041627      , 8452186      )     No           3          1    2    3 
"6020"   13.800          ( 6041377      , 8452352      )     No           3          1    2    3 
"5518"   13.800          ( 6041511      , 8452854      )     No           3          1    2    3 
"4195"   13.800          ( 6041601      , 8452299      )     No           2          1    2 
"5841"   13.800          ( 6041634      , 8452129      )     No           3          1    2    3 
"6221"   13.800          ( 6041471      , 8452257      )     No           2          1    2 
"6235"   13.800          ( 6041465      , 8452311      )     No           3          1    2    3 
"6019"   13.800          ( 6041268      , 8452319      )     No           3          1    2    3 
"5517"   13.800          ( 6041509      , 8452854      )     No           3          1    2    3 
"5813"   13.800          ( 6041636      , 8452085      )     No           3          1    2    3 
"6220"   13.800          ( 6041471      , 8452254      )     No           2          1    2 
"6018"   13.800          ( 6041153      , 8452313      )     No           3          1    2    3 
"5814"   13.800          ( 6041751      , 8451881      )     No           3          1    2    3 
"6017"   13.800          ( 6041026      , 8452304      )     No           3          1    2    3 
"5815"   13.800          ( 6041737      , 8451822      )     No           3          1    2    3 
"6016"   13.800          ( 6040926      , 8452296      )     No           3          1    2    3 
"5818"   13.800          ( 6041724      , 8451749      )     No           3          1    2    3 
"6009"   13.800          ( 6040850      , 8452362      )     No           3          1    2    3 
"5817"   13.800          ( 6041740      , 8451785      )     No           3          1    2    3 
"5816"   13.800          ( 6041740      , 8451782      )     No           3          1    2    3 
