
-------------------
Convergence Report:
-------------------
"Bus.Node", "Error", "|V|","Vbase"
"426.1"            ,    0.00000,  7.88579E+0003,  7.96743E+0003
"426.2"            ,    0.00000,  7.88091E+0003,  7.96743E+0003
"426.3"            ,    0.00000,  7.87842E+0003,  7.96743E+0003
"3283.1"           ,    0.00000,  7.90778E+0003,  7.96743E+0003
"3283.2"           ,    0.00000,  7.90554E+0003,  7.96743E+0003
"3283.3"           ,    0.00000,  7.90205E+0003,  7.96743E+0003
"3256.1"           ,    0.00000,  7.90778E+0003,  7.96743E+0003
"3256.2"           ,    0.00000,  7.90554E+0003,  7.96743E+0003
"3256.3"           ,    0.00000,  7.90205E+0003,  7.96743E+0003
"3014.1"           ,    0.00000,  7.90311E+0003,  7.96743E+0003
"3014.2"           ,    0.00000,  7.89998E+0003,  7.96743E+0003
"3014.3"           ,    0.00000,  7.89696E+0003,  7.96743E+0003
"3013.1"           ,    0.00000,  7.90342E+0003,  7.96743E+0003
"3013.2"           ,    0.00000,  7.90038E+0003,  7.96743E+0003
"3013.3"           ,    0.00000,  7.89730E+0003,  7.96743E+0003
"2828.1"           ,    0.00000,  7.92073E+0003,  7.96743E+0003
"2828.2"           ,    0.00000,  7.91956E+0003,  7.96743E+0003
"2828.3"           ,    0.00000,  7.91317E+0003,  7.96743E+0003
"2290.1"           ,    0.00000,  7.92552E+0003,  7.96743E+0003
"2290.2"           ,    0.00000,  7.92308E+0003,  7.96743E+0003
"2290.3"           ,    0.00000,  7.91260E+0003,  7.96743E+0003
"2290.4"           ,    0.00000,  7.70086E+0003,  7.96743E+0003
"2283.1"           ,    0.00000,  7.92443E+0003,  7.96743E+0003
"2283.2"           ,    0.00000,  7.92314E+0003,  7.96743E+0003
"2283.3"           ,    0.00000,  7.91308E+0003,  7.96743E+0003
"2283.4"           ,    0.00000,  7.70015E+0003,  7.96743E+0003
"2282.1"           ,    0.00000,  7.92443E+0003,  7.96743E+0003
"2282.2"           ,    0.00000,  7.92314E+0003,  7.96743E+0003
"2282.3"           ,    0.00000,  7.91308E+0003,  7.96743E+0003
"2282.4"           ,    0.00000,  7.70015E+0003,  7.96743E+0003
"1998.4"           ,    0.00007,  1.08103E+0000,  7.96743E+0003
"2000.1"           ,    0.00000,  7.89757E+0003,  7.96743E+0003
"2000.2"           ,    0.00000,  7.89129E+0003,  7.96743E+0003
"2000.3"           ,    0.00000,  7.89086E+0003,  7.96743E+0003
"2000.4"           ,    0.00007,  1.08329E+0000,  7.96743E+0003
"1158.1"           ,    0.00000,  7.88173E+0003,  7.96743E+0003
"1158.2"           ,    0.00000,  7.87610E+0003,  7.96743E+0003
"1158.3"           ,    0.00000,  7.87541E+0003,  7.96743E+0003
"1158.4"           ,    0.00001,  9.50804E-0001,  7.96743E+0003
"1160.4"           ,    0.00001,  9.52821E-0001,  7.96743E+0003
"3282.1"           ,    0.00000,  7.90778E+0003,  7.96743E+0003
"3282.2"           ,    0.00000,  7.90554E+0003,  7.96743E+0003
"3282.3"           ,    0.00000,  7.90205E+0003,  7.96743E+0003
"3281.1"           ,    0.00000,  7.90778E+0003,  7.96743E+0003
"3281.2"           ,    0.00000,  7.90554E+0003,  7.96743E+0003
"3281.3"           ,    0.00000,  7.90205E+0003,  7.96743E+0003
"3263.1"           ,    0.00000,  7.90778E+0003,  7.96743E+0003
"3263.2"           ,    0.00000,  7.90554E+0003,  7.96743E+0003
"3263.3"           ,    0.00000,  7.90205E+0003,  7.96743E+0003
"3255.1"           ,    0.00000,  7.90778E+0003,  7.96743E+0003
"3255.2"           ,    0.00000,  7.90554E+0003,  7.96743E+0003
"3255.3"           ,    0.00000,  7.90205E+0003,  7.96743E+0003
"3011.1"           ,    0.00000,  7.90311E+0003,  7.96743E+0003
"3011.2"           ,    0.00000,  7.89998E+0003,  7.96743E+0003
"3011.3"           ,    0.00000,  7.89696E+0003,  7.96743E+0003
"3009.1"           ,    0.00000,  7.90303E+0003,  7.96743E+0003
"3009.2"           ,    0.00000,  7.89988E+0003,  7.96743E+0003
"3009.3"           ,    0.00000,  7.89687E+0003,  7.96743E+0003
"3012.1"           ,    0.00000,  7.90341E+0003,  7.96743E+0003
"3012.2"           ,    0.00000,  7.90037E+0003,  7.96743E+0003
"3012.3"           ,    0.00000,  7.89729E+0003,  7.96743E+0003
"3012.4"           ,    0.00001,  7.08766E-0001,  7.96743E+0003
"3013.4"           ,    0.00001,  7.08784E-0001,  7.96743E+0003
"2827.1"           ,    0.00000,  7.92069E+0003,  7.96743E+0003
"2827.2"           ,    0.00000,  7.91953E+0003,  7.96743E+0003
